ACTIVITY,TIME,LOCATION,INSTRUCTOR,DELIVERY METHOD
LEC 0101,Tuesday 1:00PM - 2:00PM,LM 161,Paul Gries,In Person
,Thursday 1:00PM - 2:00PM,LM 161,,
,,,,
LEC 0201,Tuesday 2:00PM - 3:00PM,KP 108,Paul Gries,In Person
,Thursday 2:00PM - 3:00PM,KP 108,,
,,,,
LEC 0301,Tuesday 3:00PM - 4:00PM,BA 1130,Jonathan Calver,In Person
,Thursday 3:00PM - 4:00PM,BA 1130,,
,,,,
LEC 0401,Tuesday 4:00PM - 5:00PM,BA 1130,Jonathan Calver,In Person
,Thursday 4:00PM - 5:00PM,BA 1130,,
,,,,
LEC 0501,Tuesday 1:00PM - 2:00PM,LM 161,Paul Gries,In Person
,Thursday 1:00PM - 2:00PM,LM 161,,
,,,,
LEC 5101,Tuesday 6:00PM - 8:00PM,KP 108,Lindsey Shorser,In Person
,,,,
LEC 5201,Thursday 6:00PM - 8:00PM,Online,Lindsey Shorser,Online Synchronous
,,,,
,,,,
,,,,
,,,,
ACTIVITY,TIME,LOCATION,INSTRUCTOR,SPACE AVAILABILITY
TUT 0101,Monday 10:00AM - 12:00PM,TBA,TBA,Currently Enrolled
(In Person),,,,(5 of 168 available)
,,,,
TUT 0201,Monday 12:00PM - 2:00PM,TBA,TBA,1 of 168 available.
(In Person),,,,
,,,,
TUT 0301,Monday 2:00PM - 4:00PM,TBA,TBA,6 of 168 available.
(In Person),,,,
,,,,
TUT 0401,Monday 4:00PM - 6:00PM,TBA,TBA,44 of 168 available.
(In Person),,,,
,,,,
TUT 0501,Thursday 9:00AM - 11:00AM,TBA,TBA,Section Full
(In Person),,,,
,,,,
TUT 5101,Monday 6:00PM - 8:00PM,TBA,TBA,2 of 168 available.
(In Person),,,,
