NAME,SECTION,START DATE,DAY,START,FINISH,LOCATION,PROFESSOR(S),SCHEDULING NOTES,DELIVERY MODE
AER302H1S,LEC0101,2022-01-12,Wed,12:00,14:00,BA2159,"Liu, Hugh",,In Person
AER302H1S,LEC0101,2022-01-10,Mon,12:00,14:00,BAB024,"Liu, Hugh",,In Person
AER310H1S,LEC0101,2022-01-13,Thu,9:00,11:00,BA1240,"Groth, Clinton",,In Person
AER310H1S,LEC0101,2022-01-11,Tue,12:00,14:00,BA2135,"Groth, Clinton",,In Person
AER336H1S,LEC0101,2022-01-10,Mon,9:00,11:00,GB119,"Yano, Masayuki",,In Person
AER336H1S,LEC0101,2022-01-12,Wed,15:00,17:00,BA1220,"Yano, Masayuki",,In Person
AER336H1S,LEC0101,2022-01-10,Mon,9:00,11:00,GB119,"Zingg, David",,In Person
AER336H1S,LEC0101,2022-01-12,Wed,15:00,17:00,BA1220,"Zingg, David",,In Person
AER372H1S,LEC0101,2022-01-13,Thu,16:00,18:00,BA1210,"Emami, M.R.",,In Person
AER372H1S,LEC0101,2022-01-11,Tue,15:00,17:00,BA1220,"Emami, M.R.",,In Person
AER372H1S,PRA0101,2022-01-10,Mon,15:00,18:00,BA3114,,occurs once every two weeks,In Person
AER372H1S,PRA0101,2022-01-10,Mon,15:00,18:00,MC402,,occurs once every two weeks,In Person
AER372H1S,PRA0102,2022-01-10,Mon,15:00,18:00,BA3114,,occurs once every two weeks,In Person
AER372H1S,PRA0102,2022-01-10,Mon,15:00,18:00,MC402,,occurs once every two weeks,In Person
AER372H1S,PRA0103,2022-01-11,Tue,9:00,12:00,BA3114,,occurs once every two weeks,In Person
AER372H1S,PRA0103,2022-01-11,Tue,9:00,12:00,MC402,,occurs once every two weeks,In Person
AER372H1S,PRA0104,2022-01-11,Tue,9:00,12:00,BA3114,,occurs once every two weeks,In Person
AER372H1S,PRA0104,2022-01-11,Tue,9:00,12:00,MC402,,occurs once every two weeks,In Person
AER373H1S,LEC0101,2022-01-13,Thu,12:00,14:00,WB219,"Steeves, Craig",,In Person
AER373H1S,LEC0101,2022-01-11,Tue,9:00,11:00,BAB024,"Steeves, Craig",,In Person
AER406H1S,TUT0101,2022-01-13,Thu,9:00,12:00,MY440,"Grant, Peter",,In Person
AER503H1S,LEC0101,2022-01-12,Wed,13:00,15:00,WB119,"Grant, Peter",,In Person
AER503H1S,LEC0101,2022-01-14,Fri,12:00,14:00,BA1200,"Grant, Peter",,In Person
AER510H1S,LEC0101,2022-01-14,Fri,9:00,11:00,WB119,"Chaudhuri, Swetaprovo",,In Person
AER510H1S,LEC0101,2022-01-10,Mon,15:00,17:00,BA2185,"Chaudhuri, Swetaprovo",,In Person
,,,,,,,,,
Back to the top,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
APS,,,,,,,,,
NAME,SECTION,START DATE,DAY,START,FINISH,LOCATION,PROFESSOR(S),SCHEDULING NOTES,DELIVERY MODE
